artist,price,date,venue,songid1,songid2
Fruition,$35-$75,08-18-2018,Red Rocks Amphitheatre,2bmpltmGUztbuSt8jgvvns,1A2TSsGcCiX4GhLi13hTrQ
Railroad Earth,$35-$75,08-18-2018,Red Rocks Amphitheatre,3oSdxIGuxOHZ7pTNKKXGDb,2pWLzxRYMR53uC95fRzJbe
Bush,,08-19-2018,Red Rocks Amphitheatre,7wpYSigAhQeZp3cdsMQ3Af,6dJODklApmve5IzgKWUqV2
The Cult,,08-19-2018,Red Rocks Amphitheatre,6fIZxVeVNdjeZjX2Q1YAaA,0GyJA0Yn0CcqvHKzeKaVhw
Niall Horan,$47-$107,08-20-2018,Red Rocks Amphitheatre,2cOUlop2ZakjOKe4WinesN,39jXnbACjiaiTwwhsr5sY5
Rob Zombie,$39.50-$125,08-20-2018,Pepsi Center,6Nm8h73ycDG2saCnZV8poF,10V8XpuyMoEcSMfM79WDET
Marilyn Manson,$39.50-$125,08-20-2018,Pepsi Center,2aIB1CdRRG7YLBu9hNw9nR,3D0bXrSv7O73vOaGOG8J9c
Bahamas,$44.50-$65,08-21-2018,Red Rocks Amphitheatre,40WXqoyOLAAugGmJWZU1FY,3e5eR2DBoHD2qR4HN3YmTv
Rodrigo y Gabriela,$44.50-$65,08-21-2018,Red Rocks Amphitheatre,7ykYiFzcLuW9yjx5t5dzLo,23jaacZ4V3mdoMJYWrDI3n
Sam Smith,$35-$125,08-21-2018,Pepsi Center,3VlbOrM6nYPprVvzBZllE5,7795WJLVKJoAyVoOtCWqXN
Beth Ditto,$35-$125,08-21-2018,Pepsi Center,0tSMRt4iehP8ogwmRMEBdi,2OGsL8bopQHwAAVx81ULC8
Cyndi Lauper,$35-$199.50,08-22-2018,Pepsi Center,4y1LsJpmMti1PfRQV9AWWe,7o9uu2GDtVDr9nsR7ZRN73
Rod Stewart,$35-$199.50,08-22-2018,Pepsi Center,6c20LH3R4foocWLmYyojWq,4z7maGZkAonDlXlwo8q69f
Slim Cessna's Auto Club,$46.75-$86.50,08-22-2018,Red Rocks Amphitheatre,2v6xTo0iCKhHwoPlGuCWQs,11bvBKdPpevvYlQCAHAdkS
Tank and The Bangas,$46.75-$86.50,08-22-2018,Red Rocks Amphitheatre,04Yi3WxTBY599l1J8RnzIM,1XEvp87jyYo3ynqHSMmEbc
Nathaniel Rateliff & the Night Sweats,$46.75-$86.50,08-22-2018,Red Rocks Amphitheatre,6jwsbxD1nvTc4UGLgRoCa6,1hWQvA6oGVJ2mAVsZ59AaV
Rebelution,$54.75-$87.50,08-25-2018,Red Rocks Amphitheatre,0BweE3lWBMXRPWWLtLV5z8,4TyCnstYu6LGrjka5WW6ft
Stephen Marley,$54.75-$87.50,08-25-2018,Red Rocks Amphitheatre,5Lk437ZwLWtdeBxwQ1zfES,5wgy309XNqFkqj8MMDquvj
Common Kings,$54.75-$87.50,08-25-2018,Red Rocks Amphitheatre,6DoYk3QIvkDs60S1d01vbx,0e3aRkhcCdkYN62p2PFfD3
David Byrne,$50-$94.50,08-27-2018,Red Rocks Amphitheatre,55iwrKssfMLNfKvEviQCRB,7mOMUXj6r9C2JXD7YTNYPj
Trivecta,$25-$45,08-29-2018,Red Rocks Amphitheatre,4yzpxtxdJEvAkJLLAdW3GE,7pCOQEjSzfBAswhwEusLh1
Bass Physics,$25-$45,08-29-2018,Red Rocks Amphitheatre,5I6bapsIRGGYaK0TitT3KN,7vDwB0CdMB06kDhtTniBaj
Said The Sky,$25-$45,08-29-2018,Red Rocks Amphitheatre,04amRUbvDaUMmE9U4Vs48E,2oL0HIuo0cxIycDtJWbpuN
Illenium,$25-$45,08-29-2018,Red Rocks Amphitheatre,0Ev562zA4pmUsBqjxsxxdx,0n30h31bEKiIHXXzPbkdqy
Toy Box,$25-$45,08-29-2018,Red Rocks Amphitheatre,7IzySPSJ49Uhee1KGwnsvj,6SWHSk62UYAhyweYNghyxW
Shakey Graves,$39.95-$60,08-30-2018,Red Rocks Amphitheatre,47KDDZgFiX1w6RFOuLXsSn,3HUCTp20rxqMnCtdyU7JgU
Twin Peaks,$39.95-$60,08-30-2018,Red Rocks Amphitheatre,5HjqXQPZi27d92H5gCo1Oq,6TDZDeTpzDl4v4cbqECsmQ
Atmosphere,$42.75-$69.50,08-31-2018,Red Rocks Amphitheatre,76ZZ7dCUAEXVVHnPiXiQ2T,61OMCRdMORzZKZ5ury05iG
Gryffin,$29.50-$75,09-01-2018,Red Rocks Amphitheatre,4QVS8YCpK71R4FsxSMCjhP,4JAX1qhCBGkO1IM9woosbZ
Haywyre,$29.50-$75,09-01-2018,Red Rocks Amphitheatre,08MChfwzCjuzC5jD4tDZ74,42dw6pVslE7a5k24piTkCC
Ramzoid,$29.50-$75,09-01-2018,Red Rocks Amphitheatre,57aXNsEr1RfGCyo7N7vovs,7airCRmXTnKrRupQS1USr5
Gramatik,$29.50-$75,09-01-2018,Red Rocks Amphitheatre,6O7qFEXmLQcOsV37wrgJDz,53qU2K55RJgfs9F50irpB3
Jason Mraz,$49.50-$99.50,09-02-2018,Red Rocks Amphitheatre,1EzrEOXmMH3G43AXT1y7pA,0IktbUcnAGrvD03AWnz3Q8
Brett Dennen,$49.50-$99.50,09-02-2018,Red Rocks Amphitheatre,2JR7RCUN6pZIoyNzaqxdUa,2gJ3ZOaiWr3jGHwevufOxr
Aimee Mann,$39.75-$60.75,09-03-2018,Red Rocks Amphitheatre,0EqtsCvcDjEz6svFsaV5HN,5e7OZ8PyDJYQdGAiidCPad
Amanda Shires,$39.75-$60.75,09-03-2018,Red Rocks Amphitheatre,43LfXgo3m1nLWk0Mc6HYbD,1sPK6Qy6l4plPITjnRxh5w
Jason Isbell and the 400 Unit,$39.75-$60.75,09-03-2018,Red Rocks Amphitheatre,250RLekaiL1q9qZer975Eg,7r5X8KL8y0CpZZErtmOmNo
Margo Price,$39.50-$95,09-04-2018,Red Rocks Amphitheatre,5cTjO1vlSiN9Xs6xDxWOrI,4eANrao6IVE8PJpPgZhUDQ
Valerie June,$44.50-$79.50,09-05-2018,Red Rocks Amphitheatre,1RbhQxFFJM7QNKALY5JebS,6vyVxWBHLIqNdhy4IGz1LN
Gary Clark Jr.,$44.50-$79.50,09-05-2018,Red Rocks Amphitheatre,45HAjqRWiNv6mMPw4NvZrU,2NTDt9Fiqp5wTBM6cLO6Bu
Think No Think,$44.50-$79.50,09-05-2018,Red Rocks Amphitheatre,4Db0sCcCuS1GovgGPaxKz0,0n9govWbJv56WXJRVI5dMV
Josh Ritter,$39.95-$55,09-06-2018,Red Rocks Amphitheatre,0j8vP3IdhzbmLmx2Cn8VKu,1iy9FLjmcGQdjAXWi1y4D1
Lake Street Dive,$39.95-$55,09-06-2018,Red Rocks Amphitheatre,7BDbyDs5FUmnh955RABFd7,0jCe45cYIc6NXedmbIKy0Q
STS9,$42.50-$79.50,09-07-2018,Red Rocks Amphitheatre,6YoFJXgtRziHwv0sS2PNkV,6u5DUWiBBfMbi69uIkPgbP
